ALGORITHM,NUMBER OF ELEMENTS,NUMBER OF COMPARISONS,NUMBER OF SWAPS
QUICK,19,60,59
QUICK,27,103,101
BUBBLE,8,28,15
QUICK,13,30,29
QUICK,23,102,99
QUICK,27,96,93
BUBBLE,20,190,71
BUBBLE,20,190,79
BUBBLE,20,190,112
QUICK,18,57,54
QUICK,15,39,37
QUICK,13,39,39
BUBBLE,7,21,5
QUICK,27,104,103
QUICK,28,103,103
BUBBLE,8,28,16
QUICK,9,22,21
BUBBLE,16,120,51
QUICK,10,21,20
QUICK,8,16,15
BUBBLE,30,435,167
BUBBLE,15,105,37
BUBBLE,21,210,105
BUBBLE,26,325,163
QUICK,18,55,53
QUICK,19,70,69
QUICK,14,45,44
QUICK,7,12,11
BUBBLE,10,45,32
QUICK,8,14,12
BUBBLE,9,36,18
BUBBLE,28,378,154
QUICK,22,76,71
BUBBLE,14,91,27
QUICK,7,12,12
QUICK,25,108,108
BUBBLE,21,210,91
BUBBLE,22,231,145
BUBBLE,14,91,42
BUBBLE,29,406,195
BUBBLE,23,253,128
QUICK,30,124,121
BUBBLE,30,435,183
QUICK,6,12,12
QUICK,8,17,17
BUBBLE,18,153,70
BUBBLE,28,378,201
QUICK,19,67,65
QUICK,13,32,32
BUBBLE,8,28,13
QUICK,24,89,88
QUICK,17,73,71
QUICK,13,39,37
QUICK,18,60,58
QUICK,19,75,71
BUBBLE,19,171,59
BUBBLE,23,253,142
QUICK,10,23,21
BUBBLE,7,21,13
QUICK,11,25,24
QUICK,17,50,48
QUICK,6,8,8
BUBBLE,7,21,14
BUBBLE,26,325,131
QUICK,15,41,38
BUBBLE,12,66,31
QUICK,6,9,8
BUBBLE,7,21,10
QUICK,5,8,7
BUBBLE,11,55,29
BUBBLE,17,136,82
BUBBLE,18,153,108
QUICK,20,84,82
QUICK,9,29,29
QUICK,12,40,40
QUICK,21,94,91
QUICK,6,10,10
QUICK,14,41,39
BUBBLE,27,351,167
QUICK,15,48,45
QUICK,23,86,85
QUICK,23,78,74
BUBBLE,25,300,115
QUICK,8,19,18
QUICK,16,63,60
QUICK,14,47,44
BUBBLE,15,105,69
QUICK,18,54,52
BUBBLE,8,28,10
BUBBLE,20,190,74
BUBBLE,23,253,140
QUICK,22,74,72
QUICK,20,83,83
QUICK,5,8,7
BUBBLE,9,36,13
QUICK,18,52,50
BUBBLE,18,153,89
QUICK,8,16,16
BUBBLE,8,28,9
BUBBLE,12,66,40
QUICK,5,7,6
QUICK,15,42,42
BUBBLE,20,190,97
BUBBLE,9,36,10
QUICK,12,35,34
BUBBLE,16,120,65
QUICK,19,63,63
QUICK,27,96,93
BUBBLE,29,406,195
BUBBLE,5,10,6
BUBBLE,15,105,44
QUICK,30,154,151
BUBBLE,17,136,73
QUICK,13,42,42
BUBBLE,29,406,163
QUICK,26,97,97
BUBBLE,22,231,90
QUICK,18,68,66
QUICK,24,80,78
BUBBLE,9,36,19
QUICK,17,55,54
QUICK,11,25,25
BUBBLE,20,190,109
QUICK,15,47,47
QUICK,19,53,51
QUICK,16,48,48
BUBBLE,9,36,14
BUBBLE,21,210,132
QUICK,6,9,9
BUBBLE,24,276,126
BUBBLE,15,105,52
BUBBLE,7,21,13
BUBBLE,28,378,164
QUICK,5,6,5
BUBBLE,12,66,28
BUBBLE,12,66,42
BUBBLE,25,300,177
QUICK,15,51,48
QUICK,19,61,60
QUICK,10,21,21
QUICK,17,59,59
BUBBLE,9,36,24
QUICK,25,122,122
BUBBLE,7,21,14
QUICK,20,80,80
BUBBLE,13,78,28
QUICK,18,57,54
QUICK,24,78,75
QUICK,28,161,158
QUICK,23,77,72
QUICK,27,121,120
QUICK,10,22,22
BUBBLE,17,136,59
BUBBLE,10,45,14
QUICK,14,37,34
BUBBLE,26,325,177
QUICK,7,12,12
BUBBLE,28,378,164
QUICK,16,61,60
QUICK,28,121,118
QUICK,23,74,73
BUBBLE,19,171,84
QUICK,17,44,41
BUBBLE,5,10,6
QUICK,8,14,13
BUBBLE,28,378,146
BUBBLE,5,10,5
QUICK,26,112,109
QUICK,16,45,45
QUICK,25,107,106
QUICK,7,16,16
BUBBLE,12,66,38
QUICK,11,27,26
QUICK,17,47,45
QUICK,27,135,131
QUICK,10,21,20
QUICK,15,41,41
QUICK,28,97,94
QUICK,30,133,131
QUICK,25,82,80
BUBBLE,13,78,34
BUBBLE,13,78,30
BUBBLE,30,435,209
QUICK,20,74,73
QUICK,28,139,136
QUICK,15,60,58
QUICK,29,109,105
BUBBLE,6,15,10
BUBBLE,6,15,7
BUBBLE,29,406,227
BUBBLE,22,231,105
BUBBLE,21,210,70
BUBBLE,12,66,25
BUBBLE,19,171,91
QUICK,8,16,16
BUBBLE,13,78,31
BUBBLE,26,325,150
QUICK,28,134,132
QUICK,25,88,86
BUBBLE,29,406,154
BUBBLE,27,351,147
QUICK,30,125,125
QUICK,14,35,34
BUBBLE,29,406,250
QUICK,12,38,38
BUBBLE,29,406,201
QUICK,14,35,35
QUICK,17,47,45
BUBBLE,5,10,4
BUBBLE,28,378,168
BUBBLE,30,435,199
QUICK,24,100,99
BUBBLE,10,45,16
QUICK,13,35,35
BUBBLE,8,28,17
BUBBLE,21,210,120
QUICK,11,28,26
BUBBLE,29,406,227
BUBBLE,5,10,7
QUICK,24,74,72
QUICK,24,84,83
QUICK,27,106,103
BUBBLE,13,78,43
QUICK,23,81,79
BUBBLE,22,231,142
BUBBLE,26,325,130
QUICK,30,132,130
BUBBLE,6,15,12
QUICK,7,15,14
BUBBLE,7,21,8
